Datetime,yhat
2018-04-09,28047.807352970332
2018-04-10,28453.47566281791
2018-04-11,28377.609398237924
2018-04-12,28170.940125695142
2018-04-13,27599.497262120152
2018-04-14,24943.52213716739
2018-04-15,24106.44763516417
2018-04-16,27471.136906774267
2018-04-17,27877.814277372818
2018-04-18,27809.1727059819
2018-04-19,27616.080120500654
2018-04-20,27064.53499050228
2018-04-21,24434.58949133951
2018-04-22,23629.342886944534
2018-04-23,27031.198045622972
2018-04-24,27479.81352183599
2018-04-25,27457.234769510927
2018-04-26,27313.62595645269
2018-04-27,26814.251845735234
2018-04-28,24238.427192334755
2018-04-29,23488.53539645271
2018-04-30,26946.3084895085
2018-05-01,27450.80012224857
2018-05-02,27483.534455139525
2018-05-03,27394.251874584115
2018-05-04,26947.900590455807
2018-05-05,24423.59130087813
2018-05-06,23723.61655834171
2018-05-07,27229.726963507444
2018-05-08,27781.09606088028
2018-05-09,27859.457188044547
2018-05-10,27814.833687750343
2018-05-11,27412.512141267427
2018-05-12,24931.976508543114
2018-05-13,24275.905581986477
2018-05-14,27826.42669959363
2018-05-15,28423.058430750483
2018-05-16,28547.8263167338
2018-05-17,28550.973869018617
2018-05-18,28197.919214672027
2018-05-19,25768.175917396904
2018-05-20,25164.34091467911
2018-05-21,28768.34292245784
2018-05-22,29419.384284615542
2018-05-23,29599.06046139045
2018-05-24,29657.07931575402
2018-05-25,29358.23038683478
2018-05-26,26981.322327995615
2018-05-27,26428.19095843153
2018-05-28,28024.11333383178
2018-05-29,30775.06139113603
2018-05-30,30994.27464770015
2018-05-31,31086.57975611744
2018-06-01,30816.099695882112
2018-06-02,28461.073783774897
2018-06-03,27922.888775002233
2018-06-04,31582.3702981057
2018-06-05,32277.766138259776
2018-06-06,32489.90412279722
2018-06-07,32567.945396991017
2018-06-08,32276.3820220949
2018-06-09,29893.995973014742
2018-06-10,29322.881078097158
2018-06-11,32944.71995491891
2018-06-12,33598.74776607045
2018-06-13,33766.88601999707
2018-06-14,33799.467826475724
2018-06-15,33462.20429336401
2018-06-16,31035.110008418167
2018-06-17,30421.49010231392
2018-06-18,34004.18195952598
2018-06-19,34623.48444322366
2018-06-20,34762.25889954936
2018-06-21,34771.62435808296
2018-06-22,34417.897558208824
2018-06-23,31981.496595314235
2018-06-24,31365.91141318395
2018-06-25,34953.93479644685
2018-06-26,35585.58715377306
2018-06-27,35743.219605065635
2018-06-28,35777.21785007092
2018-06-29,35452.95731855099
2018-06-30,33049.72807692694
2018-07-01,32469.732216687873
2018-07-02,36094.346708004145
2018-07-03,36762.0841869442
2018-07-04,33583.63903470373
2018-07-05,37018.11359330236
2018-07-06,36719.05362367656
2018-07-07,34334.37742048252
2018-07-08,33764.93302089779
2018-07-09,37390.8956037474
2018-07-10,38049.76303173144
2018-07-11,38221.52829844676
2018-07-12,38254.449420341676
2018-07-13,37912.06540940268
2018-07-14,35472.1750640951
2018-07-15,34835.87974430283
2018-07-16,38383.88177772439
2018-07-17,38954.46989387639
2018-07-18,39028.67447062823
2018-07-19,38956.013559526175
2018-07-20,38501.47894019679
2018-07-21,35944.47972778779
2018-07-22,35187.8456357036
2018-07-23,38614.082602214214
2018-07-24,39063.313331927326
2018-07-25,39018.386754897445
2018-07-26,38830.578614380094
2018-07-27,38266.533671203964
2018-07-28,35607.16824355934
2018-07-29,34756.63630302237
2018-07-30,38098.55284541877
2018-07-31,38473.907960997094
2018-08-01,38366.1563181105
2018-08-02,38126.90480125465
2018-08-03,37522.849124444576
